dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1704067200,2024-01-01 00:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,7.55,10000,-0.36,5.5,6.78,8.28,1016,,,57,3.1,160,0,,,,,75,803,Clouds,broken clouds,04n
1704070800,2024-01-01 01:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,7.35,10000,-0.11,5.26,6.56,7.73,1016,,,59,3.1,190,0,,,,,75,803,Clouds,broken clouds,04n
1704074400,2024-01-01 02:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,6.83,10000,0.28,4.33,5.88,7.7,1016,,,63,3.6,190,,,,,,75,803,Clouds,broken clouds,04n
1704078000,2024-01-01 03:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,6.68,10000,0.79,5.23,5.88,7.17,1016,,,66,2.1,170,0,,,,,100,804,Clouds,overcast clouds,04n
1704081600,2024-01-01 04:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,6.26,10000,0.8,4.31,5.67,6.62,1016,,,68,2.6,130,0,,,,,75,803,Clouds,broken clouds,04n
1704085200,2024-01-01 05:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,5.47,10000,0.83,5.47,4.21,5.91,1016,,,72,0.5,130,0,,,,,20,801,Clouds,few clouds,02n
1704088800,2024-01-01 06:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,4.79,10000,0.74,3.66,3.1,5.85,1015,,,75,1.54,120,,,,,,0,800,Clear,sky is clear,01n
1704092400,2024-01-01 07:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,5.11,10000,1.42,4.02,3.44,5.51,1015,,,77,1.54,70,,,,,,100,804,Clouds,overcast clouds,04n
1704096000,2024-01-01 08:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,5.06,10000,1.72,5.06,4,5.51,1015,,,79,0,0,0,,,,,100,500,Rain,light rain,10n
1704099600,2024-01-01 09:00:00 +0000 UTC,-18000,District of Columbia,38.905985,-77.033418,5.22,10000,2.4,4.42,4,6.06,1015,,,82,1.34,352,1.79,0.25,,,,100,500,Rain,light rain,10n
